Mole fraction Au	LIQUID + FCC_A1	Mole fraction Au [1]	Tieline
0.50000	1305.79347	0.49997	1305.79087
0.49997	1305.79087	0.51266	1305.79087
0.48737	1304.47930	0.48737	1304.47930
0.47476	1303.14340	0.50029	1304.47930
0.46217	1301.78330	0.47476	1303.14340
0.44957	1300.39913	0.48792	1303.14340
0.43699	1298.99105	0.46217	1301.78330
0.42441	1297.55918	0.47555	1301.78330
0.41183	1296.10370	0.44957	1300.39913
0.39927	1294.62476	0.46316	1300.39913
0.38671	1293.12251	0.43699	1298.99105
0.37416	1291.59714	0.45077	1298.99105
0.36162	1290.04880	0.42441	1297.55918
0.34908	1288.47768	0.43838	1297.55918
0.33656	1286.88396	0.41183	1296.10370
0.32404	1285.26782	0.42598	1296.10370
0.29905	1281.96906	0.39927	1294.62476
0.28655	1280.28513	0.41357	1294.62476
0.27407	1278.57953	0.38671	1293.12251
0.26160	1276.85246	0.40115	1293.12251
0.24915	1275.10413	0.37416	1291.59714
0.23671	1273.33477	0.38873	1291.59714
0.22429	1271.54458	0.36162	1290.04880
0.21189	1269.73379	0.37630	1290.04880
0.19951	1267.90262	0.34908	1288.47768
0.18714	1266.05132	0.36385	1288.47768
0.17480	1264.18011	0.33656	1286.88396
0.16249	1262.28923	0.35140	1286.88396
0.15019	1260.37893	0.32404	1285.26782
0.13793	1258.44946	0.33894	1285.26782
0.12570	1256.50108	0.29905	1281.96906
0.11351	1254.53404	0.31399	1281.96906
0.10135	1252.54862	0.28655	1280.28513
0.08923	1250.54511	0.30148	1280.28513
0.07716	1248.52380	0.27407	1278.57953
0.06514	1246.48499	0.28896	1278.57953
0.05317	1244.42903	0.26160	1276.85246
0.04127	1242.35628	0.27643	1276.85246
0.02944	1240.26713	0.24915	1275.10413
0.01769	1238.16204	0.26388	1275.10413
0.00604	1236.04153	0.23671	1273.33477
0.00025	1234.97568	0.25132	1273.33477
0.00007	1234.94232	0.22429	1271.54458
0.00002	1234.93397	0.23874	1271.54458
0.00001	1234.93189	0.21189	1269.73379
5.02506E-6	1234.93085	0.22615	1269.73379
2.20555E-6	1234.93032	0.19951	1267.90262
7.95803E-7	1234.93006	0.21353	1267.90262
9.09287E-8	1234.92994	0.18714	1266.05132
2.81933E-9	1234.92995	0.20089	1266.05132
2.81933E-9	1234.92995	0.17480	1264.18011
0.51269	1305.79347	0.18823	1264.18011
0.51266	1305.79087	0.16249	1262.28923
0.50029	1304.47930	0.17555	1262.28923
0.48792	1303.14340	0.15019	1260.37893
0.47555	1301.78330	0.16284	1260.37893
0.46316	1300.39913	0.13793	1258.44946
0.45077	1298.99105	0.15010	1258.44946
0.43838	1297.55918	0.12570	1256.50108
0.42598	1296.10370	0.13733	1256.50108
0.41357	1294.62476	0.11351	1254.53404
0.40115	1293.12251	0.12453	1254.53404
0.38873	1291.59714	0.10135	1252.54862
0.37630	1290.04880	0.11169	1252.54862
0.36385	1288.47768	0.08923	1250.54511
0.35140	1286.88396	0.09881	1250.54511
0.33894	1285.26782	0.07716	1248.52380
0.31399	1281.96906	0.08588	1248.52380
0.30148	1280.28513	0.06514	1246.48499
0.28896	1278.57953	0.07290	1246.48499
0.27643	1276.85246	0.05317	1244.42903
0.26388	1275.10413	0.05986	1244.42903
0.25132	1273.33477	0.04127	1242.35628
0.23874	1271.54458	0.04677	1242.35628
0.22615	1269.73379	0.02944	1240.26713
0.21353	1267.90262	0.03359	1240.26713
0.20089	1266.05132	0.01769	1238.16204
0.18823	1264.18011	0.02034	1238.16204
0.17555	1262.28923	0.00604	1236.04153
0.16284	1260.37893	0.00700	1236.04153
0.15010	1258.44946	0.00025	1234.97568
0.13733	1256.50108	0.00029	1234.97568
0.12453	1254.53404	0.00007	1234.94232
0.11169	1252.54862	0.00008	1234.94232
0.09881	1250.54511	0.00002	1234.93397
0.08588	1248.52380	0.00003	1234.93397
0.07290	1246.48499	0.00001	1234.93189
0.05986	1244.42903	0.00001	1234.93189
0.04677	1242.35628	5.02506E-6	1234.93085
0.03359	1240.26713	5.85293E-6	1234.93085
0.02034	1238.16204	2.20555E-6	1234.93032
0.00700	1236.04153	2.56892E-6	1234.93032
0.00029	1234.97568	7.95803E-7	1234.93006
0.00008	1234.94232	9.26913E-7	1234.93006
0.00003	1234.93397	9.09287E-8	1234.92994
0.00001	1234.93189	1.05909E-7	1234.92994
5.85293E-6	1234.93085	2.81933E-9	1234.92995
2.56892E-6	1234.93032	3.28382E-9	1234.92995
9.26913E-7	1234.93006	2.81933E-9	1234.92995
1.05909E-7	1234.92994	3.28382E-9	1234.92995
3.28382E-9	1234.92995	0.50000	1305.79347
3.28382E-9	1234.92995	0.51269	1305.79347
0.50000	1305.79347	0.50003	1305.79607
0.50003	1305.79607	0.51271	1305.79607
0.51264	1307.08308	0.51264	1307.08308
0.52526	1308.34550	0.52507	1307.08308
0.53788	1309.58322	0.52526	1308.34550
0.55050	1310.79612	0.53743	1308.34550
0.56313	1311.98411	0.53788	1309.58322
0.57577	1313.14708	0.54978	1309.58322
0.58841	1314.28494	0.55050	1310.79612
0.60105	1315.39759	0.56213	1310.79612
0.61369	1316.48496	0.56313	1311.98411
0.62633	1317.54697	0.57448	1311.98411
0.63898	1318.58354	0.57577	1313.14708
0.65163	1319.59461	0.58682	1313.14708
0.66429	1320.58012	0.58841	1314.28494
0.67694	1321.54001	0.59916	1314.28494
0.68960	1322.47424	0.60105	1315.39759
0.70226	1323.38276	0.61149	1315.39759
0.71492	1324.26554	0.61369	1316.48496
0.72758	1325.12254	0.62382	1316.48496
0.74024	1325.95374	0.62633	1317.54697
0.75291	1326.75912	0.63615	1317.54697
0.76557	1327.53866	0.63898	1318.58354
0.77824	1328.29236	0.64848	1318.58354
0.79090	1329.02022	0.65163	1319.59461
0.80357	1329.72224	0.66080	1319.59461
0.81623	1330.39842	0.66429	1320.58012
0.82889	1331.04879	0.67312	1320.58012
0.84156	1331.67336	0.67694	1321.54001
0.85422	1332.27216	0.68544	1321.54001
0.86688	1332.84522	0.68960	1322.47424
0.87954	1333.39258	0.69776	1322.47424
